school,department_name,harvard_equivalent,funding_type,year,funding_amount
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2020,4672883
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2019,4910176
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2018,3576080
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2017,3484163
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2016,2733962
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2020,2601201
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2019,1796029
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2018,1232819
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2017,0
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2016,0
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2020,2843805
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2019,4131413
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2018,3402112
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2017,3712613
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2016,1309969
Arizona,PHARMACOLOGY,BCMP,nih,2020,13972053
Arizona,PHARMACOLOGY,BCMP,nih,2019,18261372
Arizona,PHARMACOLOGY,BCMP,nih,2018,5876618
Arizona,PHARMACOLOGY,BCMP,nih,2017,3984286
Arizona,PHARMACOLOGY,BCMP,nih,2016,4756752
Arkansas,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2020,3817445
Arkansas,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2019,2222297
Arkansas,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2018,2769129
Arkansas,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2017,2161782
Arkansas,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2016,2659495
Arkansas,PHARMACOLOGY AND TOXICOLOGY,BCMP,nih,2020,1440131
Arkansas,PHARMACOLOGY AND TOXICOLOGY,BCMP,nih,2019,1342524
Arkansas,PHARMACOLOGY AND TOXICOLOGY,BCMP,nih,2018,1282591
Arkansas,PHARMACOLOGY AND TOXICOLOGY,BCMP,nih,2017,1971216
Arkansas,PHARMACOLOGY AND TOXICOLOGY,BCMP,nih,2016,2220262
Baylor,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2020,4624247
Baylor,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2019,4930751
Baylor,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2018,5034767
Baylor,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2017,7225603
Baylor,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,nih,2016,12691309
Baylor,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2020,9442481
Baylor,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2019,11534968
Baylor,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2018,9166938
Baylor,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2017,8012159
Baylor,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2016,7545263
Baylor,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,nih,2020,5133848
Baylor,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,nih,2019,3385233
Baylor,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,nih,2018,2399012
Baylor,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,nih,2017,2309642
Baylor,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,nih,2016,0
Boston,BIOCHEMISTRY,BCMP,nih,2020,10050695
Boston,BIOCHEMISTRY,BCMP,nih,2019,8407518
Boston,BIOCHEMISTRY,BCMP,nih,2018,8814901
Boston,BIOCHEMISTRY,BCMP,nih,2017,8025749
Boston,BIOCHEMISTRY,BCMP,nih,2016,9383841
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,nih,2020,10273306
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,nih,2019,16013552
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,nih,2018,14375519
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,nih,2017,5804974
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,nih,2016,9515755
Boston,PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2020,3482892
Boston,PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2019,1582402
Boston,PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2018,2497470
Boston,PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2017,3642381
Boston,PHYSIOLOGY AND BIOPHYSICS,BCMP,nih,2016,3281980
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2020,10968070
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2019,12062933
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2018,10463662
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2017,10232868
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2016,7325503
Brown-Alpert,MOLECULAR PHARM PHYSIOLOGY AND BIOTECH,BCMP,nih,2020,2367292
Brown-Alpert,MOLECULAR PHARM PHYSIOLOGY AND BIOTECH,BCMP,nih,2019,2165005
Brown-Alpert,MOLECULAR PHARM PHYSIOLOGY AND BIOTECH,BCMP,nih,2018,2010530
Brown-Alpert,MOLECULAR PHARM PHYSIOLOGY AND BIOTECH,BCMP,nih,2017,1879572
Brown-Alpert,MOLECULAR PHARM PHYSIOLOGY AND BIOTECH,BCMP,nih,2016,2737682
Buffalo-Jacobs,BIOCHEMISTRY,BCMP,nih,2020,4802984
Buffalo-Jacobs,BIOCHEMISTRY,BCMP,nih,2019,4979267
Buffalo-Jacobs,BIOCHEMISTRY,BCMP,nih,2018,3264879
Buffalo-Jacobs,BIOCHEMISTRY,BCMP,nih,2017,3187035
Buffalo-Jacobs,BIOCHEMISTRY,BCMP,nih,2016,3712609
