school,department_name,harvard_equivalent,funding_type,year,funding_amount
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2020,16863807
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2019,16479206
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2018,13908595
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2017,10477873
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2016,11128121
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2020,2601201
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2019,1796029
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2018,1232819
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2017,0
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,nih,2016,0
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2020,10777974
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2019,7877574
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2018,4937170
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2017,3665306
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2016,4767421
Arkansas,PHYSIOLOGY AND CELL BIOLOGY,CB,nih,2020,5854333
Arkansas,PHYSIOLOGY AND CELL BIOLOGY,CB,nih,2019,4905057
Arkansas,PHYSIOLOGY AND CELL BIOLOGY,CB,nih,2018,5066569
Arkansas,PHYSIOLOGY AND CELL BIOLOGY,CB,nih,2017,4673644
Arkansas,PHYSIOLOGY AND CELL BIOLOGY,CB,nih,2016,5712146
Baylor,MOLECULAR AND CELLULAR BIOLOGY,CB,nih,2020,16951267
Baylor,MOLECULAR AND CELLULAR BIOLOGY,CB,nih,2019,15263229
Baylor,MOLECULAR AND CELLULAR BIOLOGY,CB,nih,2018,13881753
Baylor,MOLECULAR AND CELLULAR BIOLOGY,CB,nih,2017,15459641
Baylor,MOLECULAR AND CELLULAR BIOLOGY,CB,nih,2016,14917065
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2020,10968070
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2019,12062933
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2018,10463662
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2017,10232868
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,nih,2016,7325503
Caribe,ANATOMY AND CELL BIOLOGY,CB,nih,2020,0
Caribe,ANATOMY AND CELL BIOLOGY,CB,nih,2019,92990
Caribe,ANATOMY AND CELL BIOLOGY,CB,nih,2018,0
Caribe,ANATOMY AND CELL BIOLOGY,CB,nih,2017,92038
Caribe,ANATOMY AND CELL BIOLOGY,CB,nih,2016,92038
Chicago Med Franklin,CELL BIOLOGY AND ANATOMY,CB,nih,2020,1290156
Chicago Med Franklin,CELL BIOLOGY AND ANATOMY,CB,nih,2019,680015
Chicago Med Franklin,CELL BIOLOGY AND ANATOMY,CB,nih,2018,691395
Chicago Med Franklin,CELL BIOLOGY AND ANATOMY,CB,nih,2017,526500
Chicago Med Franklin,CELL BIOLOGY AND ANATOMY,CB,nih,2016,543638
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2020,9129806
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2019,7713370
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2018,6849118
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2017,6917629
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2016,6117278
Colorado,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2020,11237915
Colorado,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2019,6507877
Colorado,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2018,6640354
Colorado,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2017,5244950
Colorado,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2016,5061807
Columbia-Vagelos,PHYSIOLOGY AND CELLULAR BIOPHYSICS,CB,nih,2020,11227132
Columbia-Vagelos,PHYSIOLOGY AND CELLULAR BIOPHYSICS,CB,nih,2019,10261860
Columbia-Vagelos,PHYSIOLOGY AND CELLULAR BIOPHYSICS,CB,nih,2018,7595063
Columbia-Vagelos,PHYSIOLOGY AND CELLULAR BIOPHYSICS,CB,nih,2017,7375705
Columbia-Vagelos,PHYSIOLOGY AND CELLULAR BIOPHYSICS,CB,nih,2016,5926745
Connecticut,CELL BIOLOGY,CB,nih,2020,2618417
Connecticut,CELL BIOLOGY,CB,nih,2019,2261664
Connecticut,CELL BIOLOGY,CB,nih,2018,3072497
Connecticut,CELL BIOLOGY,CB,nih,2017,2760940
Connecticut,CELL BIOLOGY,CB,nih,2016,1922973
Cornell-Weill,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2020,1118798
Cornell-Weill,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2019,570131
Cornell-Weill,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2018,941203
Cornell-Weill,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2017,982415
Cornell-Weill,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2016,1443020
CUNY,MOLECULAR CELLULAR AND BIOMEDICAL SCIENCES,CB,nih,2020,914712
CUNY,MOLECULAR CELLULAR AND BIOMEDICAL SCIENCES,CB,nih,2019,270000
CUNY,MOLECULAR CELLULAR AND BIOMEDICAL SCIENCES,CB,nih,2018,0
CUNY,MOLECULAR CELLULAR AND BIOMEDICAL SCIENCES,CB,nih,2017,0
CUNY,MOLECULAR CELLULAR AND BIOMEDICAL SCIENCES,CB,nih,2016,0
Dartmouth-Geisel,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,nih,2020,11622453
Dartmouth-Geisel,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,nih,2019,9576692
Dartmouth-Geisel,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,nih,2018,9796295
Dartmouth-Geisel,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,nih,2017,11811079
Dartmouth-Geisel,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,nih,2016,0
Duke,CELL BIOLOGY,CB,nih,2020,13622246
Duke,CELL BIOLOGY,CB,nih,2019,11959073
Duke,CELL BIOLOGY,CB,nih,2018,12927520
Duke,CELL BIOLOGY,CB,nih,2017,13408501
Duke,CELL BIOLOGY,CB,nih,2016,11881859
East Carolina-Brody,ANATOMY AND CELL BIOLOGY,CB,nih,2020,971760
East Carolina-Brody,ANATOMY AND CELL BIOLOGY,CB,nih,2019,300652
East Carolina-Brody,ANATOMY AND CELL BIOLOGY,CB,nih,2018,433283
East Carolina-Brody,ANATOMY AND CELL BIOLOGY,CB,nih,2017,468705
East Carolina-Brody,ANATOMY AND CELL BIOLOGY,CB,nih,2016,959442
Eastern Virginia,MICROBIOLOGY AND MOLECULAR CELL BIOLOGY,BCMP;CB;Mb,nih,2020,2070864
Eastern Virginia,MICROBIOLOGY AND MOLECULAR CELL BIOLOGY,BCMP;CB;Mb,nih,2019,2992031
Eastern Virginia,MICROBIOLOGY AND MOLECULAR CELL BIOLOGY,BCMP;CB;Mb,nih,2018,2277551
Eastern Virginia,MICROBIOLOGY AND MOLECULAR CELL BIOLOGY,BCMP;CB;Mb,nih,2017,1438183
Eastern Virginia,MICROBIOLOGY AND MOLECULAR CELL BIOLOGY,BCMP;CB;Mb,nih,2016,1784729
Einstein,CELL BIOLOGY,CB,nih,2020,0
Einstein,CELL BIOLOGY,CB,nih,2019,0
Einstein,CELL BIOLOGY,CB,nih,2018,0
Einstein,CELL BIOLOGY,CB,nih,2017,0
Einstein,CELL BIOLOGY,CB,nih,2016,1
Emory,CELL BIOLOGY,CB,nih,2020,6799721
Emory,CELL BIOLOGY,CB,nih,2019,6083766
Emory,CELL BIOLOGY,CB,nih,2018,8520838
Emory,CELL BIOLOGY,CB,nih,2017,5696547
Emory,CELL BIOLOGY,CB,nih,2016,6827016
Florida,ANATOMY AND CELL BIOLOGY,CB,nih,2020,1408260
Florida,ANATOMY AND CELL BIOLOGY,CB,nih,2019,1833426
Florida,ANATOMY AND CELL BIOLOGY,CB,nih,2018,1574499
Florida,ANATOMY AND CELL BIOLOGY,CB,nih,2017,1406696
Florida,ANATOMY AND CELL BIOLOGY,CB,nih,2016,970630
George Washington,ANATOMY AND CELL BIOLOGY,CB,nih,2020,2183609
George Washington,ANATOMY AND CELL BIOLOGY,CB,nih,2019,2505691
George Washington,ANATOMY AND CELL BIOLOGY,CB,nih,2018,0
George Washington,ANATOMY AND CELL BIOLOGY,CB,nih,2017,0
George Washington,ANATOMY AND CELL BIOLOGY,CB,nih,2016,0
Georgetown,BIOCHEMISTRY MOLEC BIOLOGY AND CELL BIOLOGY,BCMP;CB,nih,2020,428757
Georgetown,BIOCHEMISTRY MOLEC BIOLOGY AND CELL BIOLOGY,BCMP;CB,nih,2019,758791
Georgetown,BIOCHEMISTRY MOLEC BIOLOGY AND CELL BIOLOGY,BCMP;CB,nih,2018,1689670
Georgetown,BIOCHEMISTRY MOLEC BIOLOGY AND CELL BIOLOGY,BCMP;CB,nih,2017,2073400
Georgetown,BIOCHEMISTRY MOLEC BIOLOGY AND CELL BIOLOGY,BCMP;CB,nih,2016,0
Harvard,CELL BIOLOGY,CB,nih,2020,12414616
Harvard,CELL BIOLOGY,CB,nih,2019,15139435
Harvard,CELL BIOLOGY,CB,nih,2018,14983513
Harvard,CELL BIOLOGY,CB,nih,2017,17683595
Harvard,CELL BIOLOGY,CB,nih,2016,14109928
Hawaii-Burns,CELL AND MOLECULAR BIOLOGY,CB,nih,2020,3705418
Hawaii-Burns,CELL AND MOLECULAR BIOLOGY,CB,nih,2019,3642604
Hawaii-Burns,CELL AND MOLECULAR BIOLOGY,CB,nih,2018,3231373
Hawaii-Burns,CELL AND MOLECULAR BIOLOGY,CB,nih,2017,3032447
Hawaii-Burns,CELL AND MOLECULAR BIOLOGY,CB,nih,2016,2816404
Illinois,ANATOMY AND CELL BIOLOGY,CB,nih,2020,7315179
Illinois,ANATOMY AND CELL BIOLOGY,CB,nih,2019,4235663
Illinois,ANATOMY AND CELL BIOLOGY,CB,nih,2018,2915221
Illinois,ANATOMY AND CELL BIOLOGY,CB,nih,2017,2676546
Illinois,ANATOMY AND CELL BIOLOGY,CB,nih,2016,2523270
Illinois,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2020,0
Illinois,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2019,0
Illinois,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2018,0
Illinois,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2017,0
Illinois,CELL AND DEVELOPMENTAL BIOLOGY,CB,nih,2016,0
