school,department_name,harvard_equivalent,funding_type,year,funding_amount
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2020,0
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2019,0
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2018,0
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2017,0
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2016,0
Arkansas,BIOMEDICAL INFORMATICS,DBMI,nih,2020,1622255
Arkansas,BIOMEDICAL INFORMATICS,DBMI,nih,2019,1893363
Arkansas,BIOMEDICAL INFORMATICS,DBMI,nih,2018,3033387
Arkansas,BIOMEDICAL INFORMATICS,DBMI,nih,2017,3018305
Arkansas,BIOMEDICAL INFORMATICS,DBMI,nih,2016,1377577
Arkansas,BIOSTATISTICS,DBMI,nih,2020,0
Arkansas,BIOSTATISTICS,DBMI,nih,2019,0
Arkansas,BIOSTATISTICS,DBMI,nih,2018,0
Arkansas,BIOSTATISTICS,DBMI,nih,2017,0
Arkansas,BIOSTATISTICS,DBMI,nih,2016,194445
Buffalo-Jacobs,BIOMEDICAL INFORMATICS,DBMI,nih,2020,384989
Buffalo-Jacobs,BIOMEDICAL INFORMATICS,DBMI,nih,2019,155981
Buffalo-Jacobs,BIOMEDICAL INFORMATICS,DBMI,nih,2018,707523
Buffalo-Jacobs,BIOMEDICAL INFORMATICS,DBMI,nih,2017,696072
Buffalo-Jacobs,BIOMEDICAL INFORMATICS,DBMI,nih,2016,198284
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2020,7543693
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2019,8574170
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2018,0
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2017,0
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2016,0
Columbia-Vagelos,BIOMEDICAL INFORMATICS,DBMI,nih,2020,0
Columbia-Vagelos,BIOMEDICAL INFORMATICS,DBMI,nih,2019,0
Columbia-Vagelos,BIOMEDICAL INFORMATICS,DBMI,nih,2018,0
Columbia-Vagelos,BIOMEDICAL INFORMATICS,DBMI,nih,2017,5010556
Columbia-Vagelos,BIOMEDICAL INFORMATICS,DBMI,nih,2016,7399707
Dartmouth-Geisel,BIOMEDICAL DATA SCIENCE,DBMI,nih,2020,3432974
