school,department_name,harvard_equivalent,nih_2020
Boston,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,10273306
Harvard,BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,BCMP,12969461
Southern Cal-Keck,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,3536721
Case Western Reserve,MOLECULAR MEDICINE,BCMP,75780802
Case Western Reserve,PHARMACOLOGY,BCMP,6791035
Case Western Reserve,PHYSIOLOGY AND BIOPHYSICS,BCMP,8116086
Johns Hopkins,BIOLOGICAL CHEMISTRY,BCMP,5069126
Johns Hopkins,BIOPHYSICS AND BIOPHYSICAL CHEMISTRY,BCMP,3668496
Johns Hopkins,PHARMACOLOGY AND MOLECULAR SCIENCES,BCMP,7791118
Northwestern-Feinberg,PHARMACOLOGY,BCMP,14046049
Drexel,PHARMACOLOGY AND PHYSIOLOGY,BCMP,6308866
George Washington,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,2038215
George Washington,PHARMACOLOGY AND PHYSIOLOGY,BCMP,3604010
Georgetown,PHARMACOLOGY AND PHYSIOLOGY,BCMP,3940933
Tufts,DEVELOPMENTAL MOLEC AND CHEMICAL BIOL,BCMP,5586818
Columbia-Vagelos,BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,BCMP,23873413
Columbia-Vagelos,MOLECULAR PHARMACOLOGY AND THERAPEUTICS,BCMP,NA
Ohio State,BIOLOGICAL CHEMISTRY AND PHARMACOLOGY,BCMP,4030387
Pennsylvania-Perelman,BIOCHEMISTRY AND BIOPHYSICS,BCMP,7985452
Pennsylvania-Perelman,SYSTEMS PHARMACOLOGY AND TRANSLATIONAL THERAPEUTICS,BCMP,32481351
Yale,MOLECULAR BIOPHYSICS AND BIOCHEMISTRY,BCMP,14769352
Stanford,BIOCHEMISTRY,BCMP,9623429
Indiana,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,10496212
Indiana,PHARMACOLOGY AND TOXICOLOGY,BCMP,5305437
