department_name,school,harvard_equivalent,PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PROJECT TITLE,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5U19TW009872-03,RPGs - Non SBIR/STTR,9120958,"CLARDY, JON",Novel therapeutic agents from the bacterial symbionts of Brazilian invertebrates,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$682.025 ,$149.581 ,831606,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,20.08.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5T32GM007306-41,Training - Institutional,9053488,"GOLAN, DAVID E.",Training in Pharmacological Sciences,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$351.008 ,$17.841 ,368849,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,03.06.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,2R01CA107486-09A1,RPGs - Non SBIR/STTR,9103822,"STRUHL, KEVIN",Genomic targets of oncoproteins and tumor suppressors,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$421.728 ,$293.101 ,714829,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,24.05.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1F32GM117661-01,Training - Individual,9045058,"VAN ARNAM, ETHAN BUGGIE",Chemical Biology of Ant-Associated Defensive Bacteria,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$56.118 ,NA,56118,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,11.02.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5K99GM115814-02,Other Research-Related,9135502,"ZIAREK, JOSHUA JAMES",Deciphering GPCR signal transduction through NMR structure and dynamics studies,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$83.333 ,$6.667 ,90000,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,16.08.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM115487-02,RPGs - Non SBIR/STTR,9129762,"LOPARO, JOSEPH JOHN",Visualizing DNA break repair: single-molecule studies of non-homologous end joining,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$197.500 ,$137.263 ,334763,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,12.08.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,4P01AI098681-04,RPGs - Non SBIR/STTR,9102872,"COEN, DONALD M",Viral And host mechanisms that tilt the HSV lytic/latent balance,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$1.256.538 ,$518.637 ,1775175,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,01.07.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,4R01CA163647-05,RPGs - Non SBIR/STTR,9024469,"SLIZ, PIOTR",Structural and Mechanistic Studies of Regulation of let-7 biogenesis by Lin28,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$207.500 ,$144.213 ,351713,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,24.03.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5F32GM113516-02,Training - Individual,9118761,"THRALL, ELIZABETH SIMMONS",Visualizing the Bacterial Replisome at Single-Molecule Resolution,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$59.970 ,NA,59970,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,27.07.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,2R01GM080676-09,RPGs - Non SBIR/STTR,9099351,"WALTER, JOHANNES",The mechanism of vertebrate DNA replication termination,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$197.500 ,$137.263 ,334763,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,30.03.16,NA
