department_name,school,harvard_equivalent,PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PROJECT TITLE,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,3R01DA039168-03S1,RPGs - Non SBIR/STTR,9372870,"BRYANT, CAMRON D",Bridging genetic variation with behavior: Molecular and functional mechanisms of quantitative trait gene regulation of the stimulant and addictive properties of methamphetamine in mice,PHARMACOLOGY,SCHOOLS OF MEDICINE,99844,64399,164243,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,15.06.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5R01DA039168-03,RPGs - Non SBIR/STTR,9300885,"BRYANT, CAMRON D",Bridging genetic variation with behavior: Molecular and functional mechanisms of quantitative trait gene regulation of the stimulant and addictive properties of methamphetamine in mice,PHARMACOLOGY,SCHOOLS OF MEDICINE,373065,186328,559393,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,14.06.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5R01CA196896-03,RPGs - Non SBIR/STTR,9282700,"CUI, RUTAO",Why red-haired individuals are so prone to developing melanoma,PHARMACOLOGY,SCHOOLS OF MEDICINE,228750,145714,374464,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,20.06.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5R01CA193913-02,RPGs - Non SBIR/STTR,9188533,"CUI, RUTAO","Molecular connections among UV exposure, red hair, nevi and melanoma",PHARMACOLOGY,SCHOOLS OF MEDICINE,228750,147544,376294,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,16.11.16
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5T32GM008541-20,Training - Institutional,9287779,"FARB, DAVID H",Training in Biomolecular Pharmacology,PHARMACOLOGY,SCHOOLS OF MEDICINE,221720,11338,215679,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,03.05.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,1R56CA215059-01,RPGs - Non SBIR/STTR,9286927,"FENG, HUI",The Role of DLST in Leukemogenesis,PHARMACOLOGY,SCHOOLS OF MEDICINE,228750,147544,376294,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,15.08.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5U01DE024434-05,RPGs - Non SBIR/STTR,9259943,"FISHER, SHANNON",Anatomical atlas and transgenic toolkit for late skull formation in zebrafish,PHARMACOLOGY,SCHOOLS OF MEDICINE,522034,115910,637944,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,09.05.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5R01DE022955-06,RPGs - Non SBIR/STTR,9267964,"FISHER, SHANNON",Screen for mutations affecting skull and suture formation in zebrafish,PHARMACOLOGY,SCHOOLS OF MEDICINE,250000,161250,411250,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,01.06.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5R01CA201446-02,RPGs - Non SBIR/STTR,9323358,"FLYNN, RACHEL L",Molecular Mechanisms Regulating the Alternative Lengthening of Telomeres Pathway,PHARMACOLOGY,SCHOOLS OF MEDICINE,228750,147544,376294,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,04.07.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,1R01CA214880-01,RPGs - Non SBIR/STTR,9285212,"FLYNN, RACHEL L","Functional characterization of the telomere repeat containing RNA, TERRA, in telomere maintenance",PHARMACOLOGY,SCHOOLS OF MEDICINE,228750,147544,376294,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,17.03.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,1F31DK116501-01,Training - Individual,9467760,"FRAME, ALISSA A",Renal and Neural Mechanisms of Age-Related Hypertension,PHARMACOLOGY,SCHOOLS OF MEDICINE,49044,NA,49044,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,31.08.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5R01GM117150-02,RPGs - Non SBIR/STTR,9357615,"GANEM, NEIL J",Maintenance of Chromosome Stability by the Hippo Tumor Suppressor Pathway,PHARMACOLOGY,SCHOOLS OF MEDICINE,2e+05,129000,329000,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,28.06.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,1F31DA044664-01,Training - Individual,9395442,"MOORE, CATHERINE FRANCES",CRF modulation of reward function in compulsive eating,PHARMACOLOGY,SCHOOLS OF MEDICINE,44044,NA,44044,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,07.08.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,1R01AA025038-01A1,RPGs - Non SBIR/STTR,9309749,"SABINO, VALENTINA",Involvement of neuropeptide systems in excessive alcohol drinking,PHARMACOLOGY,SCHOOLS OF MEDICINE,225000,139823,364823,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,18.09.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5R01AA024439-02,RPGs - Non SBIR/STTR,9321466,"SABINO, VALENTINA",Prefrontal cortex in excessive alcohol drinking: role of sigma receptors,PHARMACOLOGY,SCHOOLS OF MEDICINE,225000,145125,370125,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,20.04.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5K02HL112718-05,Other Research-Related,9274334,"WAINFORD, RICHARD DAVID",Brain G-alpha subunit protein mediated neural control of blood pressure,PHARMACOLOGY,SCHOOLS OF MEDICINE,127000,10160,137160,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,02.05.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5R01AG050471-03,RPGs - Non SBIR/STTR,9272324,"WOLOZIN, BENJAMIN L",RNA binding proteins as novel targets in Alzheimers disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,327054,210950,538004,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,18.05.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,3R01AG050471-03S1,RPGs - Non SBIR/STTR,9519438,"WOLOZIN, BENJAMIN L",RNA binding proteins as novel targets in Alzheimers disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,53785,34691,88476,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,12.09.17
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,5F31DA040324-02,Training - Individual,9271809,"YAZDANI, NEEMA",Functional mechanisms of Hnrnph1 in methamphetamine addictive behaviors,PHARMACOLOGY,SCHOOLS OF MEDICINE,16149,NA,16149,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02118-2340",Domestic Higher Education,10.03.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM028630-31,RPGs - Non SBIR/STTR,9319292,"BENDER, WELCOME",Molecular Genetics of the Bithorax Complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,200250,139174,339424,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,28.07.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1R35CA220340-01,RPGs - Non SBIR/STTR,9388655,"BLACKLOW, STEPHEN C",Notch Signaling in Cancer,BIOCHEMISTRY,SCHOOLS OF MEDICINE,6e+05,410339,1010339,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,14.08.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM056663-19,RPGs - Non SBIR/STTR,9308955,"BURATOWSKI, STEPHEN",mRNA Capping Enzyme,BIOCHEMISTRY,SCHOOLS OF MEDICINE,320000,222400,542400,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,30.06.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,2R01GM046498-26A1,RPGs - Non SBIR/STTR,9309382,"BURATOWSKI, STEPHEN",The RNA polymerase II transcription complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,250000,173750,423750,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,11.04.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM116898-02,RPGs - Non SBIR/STTR,9198039,"CHOU, JAMES J",Function and mechanism of the HCV p7 channel and its therapeutic potential,BIOCHEMISTRY,SCHOOLS OF MEDICINE,275353,188622,463975,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,23.12.16
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1R01HL130143-01A1,RPGs - Non SBIR/STTR,9235660,"CHOU, JAMES J",Molecular Architecture Of The Mitochondrial Calcium Uniporter,BIOCHEMISTRY,SCHOOLS OF MEDICINE,645596,198075,843671,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,13.01.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5U19TW009872-04,RPGs - Non SBIR/STTR,9335718,"CLARDY, JON",Novel therapeutic agents from the bacterial symbionts of Brazilian invertebrates,BIOCHEMISTRY,SCHOOLS OF MEDICINE,671134,148287,819421,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,04.08.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,9R01AT009874-09,RPGs - Non SBIR/STTR,9380400,"CLARDY, JON",Chemical biology of bacterial symbionts,BIOCHEMISTRY,SCHOOLS OF MEDICINE,245060,170317,415377,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,20.07.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1R01AT009708-01A1,RPGs - Non SBIR/STTR,9238030,"CLARDY, JON",Identification and characterization of gut microbial bioactive molecules that determine predisposition to autoimmune disease and atopy,BIOCHEMISTRY,SCHOOLS OF MEDICINE,531356,155143,686499,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,27.03.17
