department_name,school,harvard_equivalent,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,3R01DA039168-04S1,RPGs - Non SBIR/STTR,9926356,"BRYANT, CAMRON D",9113546,Bridging genetic variation with behavior: Molecular and functional mechanisms of quantitative trait gene regulation of the stimulant and addictive properties of methamphetamine in mice,PHARMACOLOGY,SCHOOLS OF MEDICINE,$7.840,$627,8467,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,08.05.19,PA14-014
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01DA039168-05,RPGs - Non SBIR/STTR,9719802,"BRYANT, CAMRON D",9113546,Bridging genetic variation with behavior: Molecular and functional mechanisms of quantitative trait gene regulation of the stimulant and addictive properties of methamphetamine in mice,PHARMACOLOGY,SCHOOLS OF MEDICINE,$354.825,$174.709,529534,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,24.06.19,PA14-014
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1K99CA234097-01A1,Other Research-Related,9822690,"CHEN, SHUYANG",14756490,Targeting ZDHHC13-activated palmitoylation for melanoma treatment,PHARMACOLOGY,SCHOOLS OF MEDICINE,$93.859,$7.509,101368,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,18.06.19,PA18-398
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5F31AG057170-02,Training - Individual,9691038,"CLAYTON, KEVIN",14588114,TREM2-TYROBP coupling modulation for the reduction of Alzheimers-mediated neuroinflammation: a novel pharmacologic therapy,PHARMACOLOGY,SCHOOLS OF MEDICINE,$45.016,NA,45016,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,16.04.19,PA16-308
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R21AA026051-02,RPGs - Non SBIR/STTR,9688893,"COTTONE, PIETRO",8764362,Determining the role of PACAP neuronal populations in alcohol drinking using PACAP-Cre mice,PHARMACOLOGY,SCHOOLS OF MEDICINE,$143.750,$93.438,237188,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,26.03.19,PA16-161
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01CA193913-04,RPGs - Non SBIR/STTR,9604316,"CUI, RUTAO",10228903,"Molecular connections among UV exposure, red hair, nevi and melanoma",PHARMACOLOGY,SCHOOLS OF MEDICINE,$221.887,$144.227,366114,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,28.11.18,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,3T32GM008541-22S1,Training - Institutional,9900371,"FARB, DAVID H",1881301,Training in Biomolecular Pharmacology,PHARMACOLOGY,SCHOOLS OF MEDICINE,$70.000,$5.600,75600,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,10.06.19,PA18-591
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5T32GM008541-22,Training - Institutional,9720897,"FARB, DAVID H",1881301,Training in Biomolecular Pharmacology,PHARMACOLOGY,SCHOOLS OF MEDICINE,$226.580,$11.726,238306,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,31.05.19,PA16-152
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R21AG061553-01,RPGs - Non SBIR/STTR,9648309,"FARB, DAVID H",1881301,Mapping the Transcriptome of Age-Related Hippocampal Trisynaptic Circuit Dysfunction in a Rat Model for Alzheimers Disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,$150.000,$97.500,247500,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,29.01.19,PA18-489
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R21AG056947-02,RPGs - Non SBIR/STTR,9684537,"FARB, DAVID H",1881301,Age-Related Changes in Neural Network Activity and Tau in a rat model of Alzheimers Disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,$125.000,$81.250,206250,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,19.03.19,PA16-161
