school,department_name,harvard_equivalent,funding_type,year,funding_amount
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2020,0
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2019,0
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2018,0
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2017,0
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2016,0
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2020,7543693
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2019,8574170
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2018,0
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2017,0
Case Western Reserve,POPULATION AND QUANTITATIVE HEALTH SCIENCES,GHSM;DBMI,nih,2016,0
Chicago Med Franklin,HUMANITIES AND HEALTH CARE,GHSM,nih,2020,0
Chicago Med Franklin,HUMANITIES AND HEALTH CARE,GHSM,nih,2019,0
Chicago Med Franklin,HUMANITIES AND HEALTH CARE,GHSM,nih,2018,0
Chicago Med Franklin,HUMANITIES AND HEALTH CARE,GHSM,nih,2017,0
Chicago Med Franklin,HUMANITIES AND HEALTH CARE,GHSM,nih,2016,0
Chicago-Pritzker,PUBLIC HEALTH SCIENCES,GHSM,nih,2020,17989767
Chicago-Pritzker,PUBLIC HEALTH SCIENCES,GHSM,nih,2019,16638743
Chicago-Pritzker,PUBLIC HEALTH SCIENCES,GHSM,nih,2018,4532393
Chicago-Pritzker,PUBLIC HEALTH SCIENCES,GHSM,nih,2017,7212523
Chicago-Pritzker,PUBLIC HEALTH SCIENCES,GHSM,nih,2016,3301916
Cincinnati,ENVIRONMENTAL AND PUBLIC HEALTH SCIENCES,GHSM,nih,2020,5182379
Cincinnati,ENVIRONMENTAL AND PUBLIC HEALTH SCIENCES,GHSM,nih,2019,8135149
Cincinnati,ENVIRONMENTAL AND PUBLIC HEALTH SCIENCES,GHSM,nih,2018,7769125
Cincinnati,ENVIRONMENTAL AND PUBLIC HEALTH SCIENCES,GHSM,nih,2017,8635904
Cincinnati,ENVIRONMENTAL AND PUBLIC HEALTH SCIENCES,GHSM,nih,2016,8020989
Columbia-Vagelos,MEDICAL HUMANITIES AND ETHICS,GHSM,nih,2020,0
Columbia-Vagelos,MEDICAL HUMANITIES AND ETHICS,GHSM,nih,2019,0
Columbia-Vagelos,MEDICAL HUMANITIES AND ETHICS,GHSM,nih,2018,0
Columbia-Vagelos,MEDICAL HUMANITIES AND ETHICS,GHSM,nih,2017,0
Columbia-Vagelos,MEDICAL HUMANITIES AND ETHICS,GHSM,nih,2016,0
Creighton,MEDICAL HUMANITIES,GHSM,nih,2020,0
Creighton,MEDICAL HUMANITIES,GHSM,nih,2019,0
Creighton,MEDICAL HUMANITIES,GHSM,nih,2018,0
Creighton,MEDICAL HUMANITIES,GHSM,nih,2017,0
Creighton,MEDICAL HUMANITIES,GHSM,nih,2016,0
Duke,POPULATION HEALTH SCIENCES,GHSM,nih,2020,5898573
Duke,POPULATION HEALTH SCIENCES,GHSM,nih,2019,4130572
Duke,POPULATION HEALTH SCIENCES,GHSM,nih,2018,3000221
Duke,POPULATION HEALTH SCIENCES,GHSM,nih,2017,0
