school,department_name,harvard_equivalent,funding_type,year,funding_amount
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2020,4672883
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2019,4910176
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2018,3576080
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2017,3484163
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2016,2733962
Alabama,GENETICS,Gn,nih,2020,10896637
Alabama,GENETICS,Gn,nih,2019,21359614
Alabama,GENETICS,Gn,nih,2018,14680250
Alabama,GENETICS,Gn,nih,2017,4941662
Alabama,GENETICS,Gn,nih,2016,1956853
Baylor,MOLECULAR AND HUMAN GENETICS,Gn,nih,2020,110178033
Baylor,MOLECULAR AND HUMAN GENETICS,Gn,nih,2019,78237376
Baylor,MOLECULAR AND HUMAN GENETICS,Gn,nih,2018,71920646
Baylor,MOLECULAR AND HUMAN GENETICS,Gn,nih,2017,64183991
Baylor,MOLECULAR AND HUMAN GENETICS,Gn,nih,2016,62831639
Case Western Reserve,GENETICS AND GENOME SCIENCES,Gn,nih,2020,11507222
Case Western Reserve,GENETICS AND GENOME SCIENCES,Gn,nih,2019,10721353
Case Western Reserve,GENETICS AND GENOME SCIENCES,Gn,nih,2018,0
Case Western Reserve,GENETICS AND GENOME SCIENCES,Gn,nih,2017,0
Case Western Reserve,GENETICS AND GENOME SCIENCES,Gn,nih,2016,0
Chicago-Pritzker,HUMAN GENETICS,Gn,nih,2020,2071256
Chicago-Pritzker,HUMAN GENETICS,Gn,nih,2019,6428313
Chicago-Pritzker,HUMAN GENETICS,Gn,nih,2018,6459064
Chicago-Pritzker,HUMAN GENETICS,Gn,nih,2017,5849360
Chicago-Pritzker,HUMAN GENETICS,Gn,nih,2016,4895823
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2020,9129806
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2019,7713370
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2018,6849118
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2017,6917629
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,nih,2016,6117278
Cincinnati,MOLECULAR GENETICS BIOCHEMISTRY AND MICROBIOLOGY,Gn;BCMP;Mb,nih,2020,2860458
Cincinnati,MOLECULAR GENETICS BIOCHEMISTRY AND MICROBIOLOGY,Gn;BCMP;Mb,nih,2019,2230575
Cincinnati,MOLECULAR GENETICS BIOCHEMISTRY AND MICROBIOLOGY,Gn;BCMP;Mb,nih,2018,2769312
Cincinnati,MOLECULAR GENETICS BIOCHEMISTRY AND MICROBIOLOGY,Gn;BCMP;Mb,nih,2017,2735915
Cincinnati,MOLECULAR GENETICS BIOCHEMISTRY AND MICROBIOLOGY,Gn;BCMP;Mb,nih,2016,3003648
Colorado,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2020,10612477
Colorado,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2019,13847710
Colorado,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2018,7195030
Colorado,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2017,7245349
Colorado,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2016,0
Columbia-Vagelos,GENETICS AND DEVELOPMENT,Gn,nih,2020,14041994
Columbia-Vagelos,GENETICS AND DEVELOPMENT,Gn,nih,2019,12892758
Columbia-Vagelos,GENETICS AND DEVELOPMENT,Gn,nih,2018,14578185
Columbia-Vagelos,GENETICS AND DEVELOPMENT,Gn,nih,2017,16728486
Columbia-Vagelos,GENETICS AND DEVELOPMENT,Gn,nih,2016,16298399
Connecticut,GENETICS AND GENOME SCIENCES,Gn,nih,2020,9729855
Connecticut,GENETICS AND GENOME SCIENCES,Gn,nih,2019,8931180
Connecticut,GENETICS AND GENOME SCIENCES,Gn,nih,2018,7858478
Connecticut,GENETICS AND GENOME SCIENCES,Gn,nih,2017,5103114
Connecticut,GENETICS AND GENOME SCIENCES,Gn,nih,2016,3220607
Cornell-Weill,GENETIC MEDICINE,Gn,nih,2020,954506
Cornell-Weill,GENETIC MEDICINE,Gn,nih,2019,2149850
Cornell-Weill,GENETIC MEDICINE,Gn,nih,2018,2096724
Cornell-Weill,GENETIC MEDICINE,Gn,nih,2017,4778731
Cornell-Weill,GENETIC MEDICINE,Gn,nih,2016,6428232
Duke,MOLECULAR GENETICS AND MICROBIOLOGY,Mb;Gn,nih,2020,22638541
Duke,MOLECULAR GENETICS AND MICROBIOLOGY,Mb;Gn,nih,2019,23036094
Duke,MOLECULAR GENETICS AND MICROBIOLOGY,Mb;Gn,nih,2018,19767470
Duke,MOLECULAR GENETICS AND MICROBIOLOGY,Mb;Gn,nih,2017,18262931
Duke,MOLECULAR GENETICS AND MICROBIOLOGY,Mb;Gn,nih,2016,16118899
Einstein,GENETICS,Gn,nih,2020,0
Einstein,GENETICS,Gn,nih,2019,0
Einstein,GENETICS,Gn,nih,2018,0
Einstein,GENETICS,Gn,nih,2017,0
Einstein,GENETICS,Gn,nih,2016,208750
Emory,HUMAN GENETICS,Gn,nih,2020,15543238
Emory,HUMAN GENETICS,Gn,nih,2019,15733951
Emory,HUMAN GENETICS,Gn,nih,2018,13177654
Emory,HUMAN GENETICS,Gn,nih,2017,10103706
Emory,HUMAN GENETICS,Gn,nih,2016,7769238
FIU-Wertheim,HUMAN AND MOLECULAR GENETICS,Gn,nih,2020,333955
FIU-Wertheim,HUMAN AND MOLECULAR GENETICS,Gn,nih,2019,437423
FIU-Wertheim,HUMAN AND MOLECULAR GENETICS,Gn,nih,2018,749805
FIU-Wertheim,HUMAN AND MOLECULAR GENETICS,Gn,nih,2017,761619
FIU-Wertheim,HUMAN AND MOLECULAR GENETICS,Gn,nih,2016,255200
Florida,MOLECULAR GENETICS AND MICROBIOL,Gn;Mb,nih,2020,8836715
Florida,MOLECULAR GENETICS AND MICROBIOL,Gn;Mb,nih,2019,9767366
Florida,MOLECULAR GENETICS AND MICROBIOL,Gn;Mb,nih,2018,7397861
Florida,MOLECULAR GENETICS AND MICROBIOL,Gn;Mb,nih,2017,9861543
Florida,MOLECULAR GENETICS AND MICROBIOL,Gn;Mb,nih,2016,9313186
Florida,PHYSIOLOGY AND FUNCTIONAL GENOMICS,Gn,nih,2020,2366634
Florida,PHYSIOLOGY AND FUNCTIONAL GENOMICS,Gn,nih,2019,1897162
Florida,PHYSIOLOGY AND FUNCTIONAL GENOMICS,Gn,nih,2018,2674190
