school,department_name,harvard_equivalent,funding_type,year,funding_amount
Alabama,MICROBIOLOGY,Mb,nih,2020,21285538
Alabama,MICROBIOLOGY,Mb,nih,2019,14433331
Alabama,MICROBIOLOGY,Mb,nih,2018,9747471
Alabama,MICROBIOLOGY,Mb,nih,2017,9049882
Alabama,MICROBIOLOGY,Mb,nih,2016,9890647
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2020,4486443
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2019,4190772
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2018,3941260
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2017,3107032
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2016,4967862
Arizona,IMMUNOBIOLOGY,Imm,nih,2020,9989996
Arizona,IMMUNOBIOLOGY,Imm,nih,2019,7778770
Arizona,IMMUNOBIOLOGY,Imm,nih,2018,7194695
Arizona,IMMUNOBIOLOGY,Imm,nih,2017,5039854
Arizona,IMMUNOBIOLOGY,Imm,nih,2016,3579237
Arkansas,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2020,6392377
Arkansas,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2019,5993290
Arkansas,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2018,5891088
Arkansas,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2017,4375558
Arkansas,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2016,4574857
Baylor,MOLECULAR VIROLOGY AND MICROBIOLOGY,Mb,nih,2020,5105838
Baylor,MOLECULAR VIROLOGY AND MICROBIOLOGY,Mb,nih,2019,8376615
Baylor,MOLECULAR VIROLOGY AND MICROBIOLOGY,Mb,nih,2018,8505908
Baylor,MOLECULAR VIROLOGY AND MICROBIOLOGY,Mb,nih,2017,10762813
Baylor,MOLECULAR VIROLOGY AND MICROBIOLOGY,Mb,nih,2016,8397814
Baylor,PATHOLOGY AND IMMUNOLOGY,Imm,nih,2020,9672826
Baylor,PATHOLOGY AND IMMUNOLOGY,Imm,nih,2019,8479997
Baylor,PATHOLOGY AND IMMUNOLOGY,Imm,nih,2018,8961601
Baylor,PATHOLOGY AND IMMUNOLOGY,Imm,nih,2017,7571934
Baylor,PATHOLOGY AND IMMUNOLOGY,Imm,nih,2016,5828644
Boston,MICROBIOLOGY,Mb;Imm,nih,2020,16999462
Boston,MICROBIOLOGY,Mb;Imm,nih,2019,17063546
Boston,MICROBIOLOGY,Mb;Imm,nih,2018,15747951
Boston,MICROBIOLOGY,Mb;Imm,nih,2017,14508833
Boston,MICROBIOLOGY,Mb;Imm,nih,2016,5036933
Brown-Alpert,MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2020,5104318
Brown-Alpert,MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2019,4769968
Brown-Alpert,MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2018,3977727
Brown-Alpert,MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2017,2544035
Brown-Alpert,MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2016,3654958
Buffalo-Jacobs,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2020,6360969
Buffalo-Jacobs,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2019,5175031
Buffalo-Jacobs,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2018,9870776
Buffalo-Jacobs,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2017,9197466
Buffalo-Jacobs,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2016,8741117
Caribe,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,nih,2020,0
