school,department_name,harvard_equivalent,funding_type,year,funding_amount
Alabama,NEUROBIOLOGY,Nb,nih,2020,7413698
Alabama,NEUROBIOLOGY,Nb,nih,2019,6206740
Alabama,NEUROBIOLOGY,Nb,nih,2018,6305039
Alabama,NEUROBIOLOGY,Nb,nih,2017,3708985
Alabama,NEUROBIOLOGY,Nb,nih,2016,5956669
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2020,1616351
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2019,294016
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2018,15000
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2017,0
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2016,0
Arizona,TRANSLATIONAL NEUROSCIENCES,Nb,nih,2020,0
Arizona,TRANSLATIONAL NEUROSCIENCES,Nb,nih,2019,0
Arizona,TRANSLATIONAL NEUROSCIENCES,Nb,nih,2018,0
Arizona,TRANSLATIONAL NEUROSCIENCES,Nb,nih,2017,0
Arizona,TRANSLATIONAL NEUROSCIENCES,Nb,nih,2016,0
Arkansas,NEUROBIOLOGY AND DEVELOPMENTAL SCIS,Nb,nih,2020,3003127
Arkansas,NEUROBIOLOGY AND DEVELOPMENTAL SCIS,Nb,nih,2019,2976636
Arkansas,NEUROBIOLOGY AND DEVELOPMENTAL SCIS,Nb,nih,2018,4124018
Arkansas,NEUROBIOLOGY AND DEVELOPMENTAL SCIS,Nb,nih,2017,2553754
Arkansas,NEUROBIOLOGY AND DEVELOPMENTAL SCIS,Nb,nih,2016,2734623
Baylor,NEUROSCIENCE,Nb,nih,2020,19988192
Baylor,NEUROSCIENCE,Nb,nih,2019,20348823
Baylor,NEUROSCIENCE,Nb,nih,2018,13419844
Baylor,NEUROSCIENCE,Nb,nih,2017,20179950
Baylor,NEUROSCIENCE,Nb,nih,2016,17409031
Boston,ANATOMY AND NEUROBIOLOGY,Nb,nih,2020,5371714
Boston,ANATOMY AND NEUROBIOLOGY,Nb,nih,2019,11612619
Boston,ANATOMY AND NEUROBIOLOGY,Nb,nih,2018,5054274
Boston,ANATOMY AND NEUROBIOLOGY,Nb,nih,2017,3806721
Boston,ANATOMY AND NEUROBIOLOGY,Nb,nih,2016,4698042
Brown-Alpert,NEUROSCIENCE,Nb,nih,2020,10504732
Brown-Alpert,NEUROSCIENCE,Nb,nih,2019,8477238
Brown-Alpert,NEUROSCIENCE,Nb,nih,2018,12273436
Brown-Alpert,NEUROSCIENCE,Nb,nih,2017,8722625
Brown-Alpert,NEUROSCIENCE,Nb,nih,2016,8627293
Caribe,NEUROSCIENCE,Nb,nih,2020,124585
Caribe,NEUROSCIENCE,Nb,nih,2019,445968
Caribe,NEUROSCIENCE,Nb,nih,2018,238694
Caribe,NEUROSCIENCE,Nb,nih,2017,0
Caribe,NEUROSCIENCE,Nb,nih,2016,432309
Case Western Reserve,NEUROSCIENCES,Nb,nih,2020,9677995
Case Western Reserve,NEUROSCIENCES,Nb,nih,2019,7917847
Case Western Reserve,NEUROSCIENCES,Nb,nih,2018,0
Case Western Reserve,NEUROSCIENCES,Nb,nih,2017,0
Case Western Reserve,NEUROSCIENCES,Nb,nih,2016,0
Chicago Med Franklin,NEUROSCIENCE,Nb,nih,2020,2325869
Chicago Med Franklin,NEUROSCIENCE,Nb,nih,2019,950843
Chicago Med Franklin,NEUROSCIENCE,Nb,nih,2018,1773278
Chicago Med Franklin,NEUROSCIENCE,Nb,nih,2017,1596750
Chicago Med Franklin,NEUROSCIENCE,Nb,nih,2016,3056432
Chicago-Pritzker,NEUROBIOLOGY,Nb,nih,2020,11495529
Chicago-Pritzker,NEUROBIOLOGY,Nb,nih,2019,11090138
Chicago-Pritzker,NEUROBIOLOGY,Nb,nih,2018,17728912
Chicago-Pritzker,NEUROBIOLOGY,Nb,nih,2017,5941566
Chicago-Pritzker,NEUROBIOLOGY,Nb,nih,2016,9334978
Columbia-Vagelos,NEUROSCIENCE,Nb,nih,2020,26131850
Columbia-Vagelos,NEUROSCIENCE,Nb,nih,2019,19465401
Columbia-Vagelos,NEUROSCIENCE,Nb,nih,2018,17064818
Columbia-Vagelos,NEUROSCIENCE,Nb,nih,2017,13088822
Columbia-Vagelos,NEUROSCIENCE,Nb,nih,2016,10174348
Connecticut,NEUROSCIENCE,Nb,nih,2020,5948787
Connecticut,NEUROSCIENCE,Nb,nih,2019,4295469
Connecticut,NEUROSCIENCE,Nb,nih,2018,6928536
Connecticut,NEUROSCIENCE,Nb,nih,2017,3248905
Connecticut,NEUROSCIENCE,Nb,nih,2016,3394339
Cornell-Weill,BRAIN AND MIND RESEARCH INSTITUTE,Nb,nih,2020,177279
Cornell-Weill,BRAIN AND MIND RESEARCH INSTITUTE,Nb,nih,2019,211748
Cornell-Weill,BRAIN AND MIND RESEARCH INSTITUTE,Nb,nih,2018,2297828
Cornell-Weill,BRAIN AND MIND RESEARCH INSTITUTE,Nb,nih,2017,2625078
Cornell-Weill,BRAIN AND MIND RESEARCH INSTITUTE,Nb,nih,2016,0
Drexel,NEUROBIOLOGY AND ANATOMY,Nb,nih,2020,6863234
Drexel,NEUROBIOLOGY AND ANATOMY,Nb,nih,2019,5842508
Drexel,NEUROBIOLOGY AND ANATOMY,Nb,nih,2018,6919546
Drexel,NEUROBIOLOGY AND ANATOMY,Nb,nih,2017,6503167
Drexel,NEUROBIOLOGY AND ANATOMY,Nb,nih,2016,6233604
Duke,NEUROBIOLOGY,Nb,nih,2020,16128442
Duke,NEUROBIOLOGY,Nb,nih,2019,14004842
Duke,NEUROBIOLOGY,Nb,nih,2018,8137284
Duke,NEUROBIOLOGY,Nb,nih,2017,8084643
