school,department_name,harvard_equivalent,funding_type,year,funding_amount
Columbia-Vagelos,SYSTEMS BIOLOGY,SB,nih,2020,613115
Columbia-Vagelos,SYSTEMS BIOLOGY,SB,nih,2019,612352
Columbia-Vagelos,SYSTEMS BIOLOGY,SB,nih,2018,626757
Columbia-Vagelos,SYSTEMS BIOLOGY,SB,nih,2017,642708
Columbia-Vagelos,SYSTEMS BIOLOGY,SB,nih,2016,0
Dartmouth-Geisel,MOLECULAR AND SYSTEMS BIOLOGY,SB,nih,2020,9780527
Dartmouth-Geisel,MOLECULAR AND SYSTEMS BIOLOGY,SB,nih,2019,6983359
Dartmouth-Geisel,MOLECULAR AND SYSTEMS BIOLOGY,SB,nih,2018,3496836
Dartmouth-Geisel,MOLECULAR AND SYSTEMS BIOLOGY,SB,nih,2017,2452111
Dartmouth-Geisel,MOLECULAR AND SYSTEMS BIOLOGY,SB,nih,2016,0
Harvard,SYSTEMS BIOLOGY,SB,nih,2020,9487140
Harvard,SYSTEMS BIOLOGY,SB,nih,2019,12562814
Harvard,SYSTEMS BIOLOGY,SB,nih,2018,14295453
Harvard,SYSTEMS BIOLOGY,SB,nih,2017,12339224
Harvard,SYSTEMS BIOLOGY,SB,nih,2016,10921577
Oregon,COMPUTATIONAL BIOLOGY,SB,nih,2020,1026817
Oregon,COMPUTATIONAL BIOLOGY,SB,nih,2019,1010711
Oregon,COMPUTATIONAL BIOLOGY,SB,nih,2018,966623
Oregon,COMPUTATIONAL BIOLOGY,SB,nih,2017,0
Oregon,COMPUTATIONAL BIOLOGY,SB,nih,2016,0
Pittsburgh,COMPUTATIONAL AND SYSTEMS BIOLOGY,SB,nih,2020,8927593
Pittsburgh,COMPUTATIONAL AND SYSTEMS BIOLOGY,SB,nih,2019,10778931
Pittsburgh,COMPUTATIONAL AND SYSTEMS BIOLOGY,SB,nih,2018,9396495
Pittsburgh,COMPUTATIONAL AND SYSTEMS BIOLOGY,SB,nih,2017,7029662
Pittsburgh,COMPUTATIONAL AND SYSTEMS BIOLOGY,SB,nih,2016,6580986
Stanford,CHEMICAL AND SYSTEMS BIOLOGY,SB,nih,2020,5721557
Stanford,CHEMICAL AND SYSTEMS BIOLOGY,SB,nih,2019,6702186
Stanford,CHEMICAL AND SYSTEMS BIOLOGY,SB,nih,2018,7239999
Stanford,CHEMICAL AND SYSTEMS BIOLOGY,SB,nih,2017,8939478
Stanford,CHEMICAL AND SYSTEMS BIOLOGY,SB,nih,2016,9383397
Average,Average,SB,nih,2016,4480993
Average,Average,SB,nih,2017,5233864
Average,Average,SB,nih,2018,6003694
Average,Average,SB,nih,2019,6441726
Average,Average,SB,nih,2020,5926125
