school,department_name,harvard_equivalent,funding_type,year,funding_amount
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2020,4672883
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2019,4910176
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2018,3576080
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2017,3484163
Alabama,BIOCHEMISTRY AND MOLEC GENETICS,BCMP;Gn,nih,2016,2733962
Alabama,BIOMEDICAL ENGINEERING,NA,nih,2020,4730582
Alabama,BIOMEDICAL ENGINEERING,NA,nih,2019,5316407
Alabama,BIOMEDICAL ENGINEERING,NA,nih,2018,5285777
Alabama,BIOMEDICAL ENGINEERING,NA,nih,2017,4859502
Alabama,BIOMEDICAL ENGINEERING,NA,nih,2016,3691142
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2020,16863807
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2019,16479206
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2018,13908595
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2017,10477873
Alabama,CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,CB,nih,2016,11128121
Alabama,GENETICS,Gn,nih,2020,10896637
Alabama,GENETICS,Gn,nih,2019,21359614
Alabama,GENETICS,Gn,nih,2018,14680250
Alabama,GENETICS,Gn,nih,2017,4941662
Alabama,GENETICS,Gn,nih,2016,1956853
Alabama,MICROBIOLOGY,Mb,nih,2020,21285538
Alabama,MICROBIOLOGY,Mb,nih,2019,14433331
Alabama,MICROBIOLOGY,Mb,nih,2018,9747471
Alabama,MICROBIOLOGY,Mb,nih,2017,9049882
Alabama,MICROBIOLOGY,Mb,nih,2016,9890647
Alabama,NEUROBIOLOGY,Nb,nih,2020,7413698
Alabama,NEUROBIOLOGY,Nb,nih,2019,6206740
Alabama,NEUROBIOLOGY,Nb,nih,2018,6305039
Alabama,NEUROBIOLOGY,Nb,nih,2017,3708985
Alabama,NEUROBIOLOGY,Nb,nih,2016,5956669
Alabama,PATHOLOGY,NA,nih,2020,10922558
Alabama,PATHOLOGY,NA,nih,2019,12200250
Alabama,PATHOLOGY,NA,nih,2018,14909839
Alabama,PATHOLOGY,NA,nih,2017,14938094
Alabama,PATHOLOGY,NA,nih,2016,14724183
Alabama,PHARMACOLOGY AND TOXICOLOGY,NA,nih,2020,1174724
Alabama,PHARMACOLOGY AND TOXICOLOGY,NA,nih,2019,1475509
Alabama,PHARMACOLOGY AND TOXICOLOGY,NA,nih,2018,1291353
Alabama,PHARMACOLOGY AND TOXICOLOGY,NA,nih,2017,2418728
Alabama,PHARMACOLOGY AND TOXICOLOGY,NA,nih,2016,1512037
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2020,4486443
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2019,4190772
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2018,3941260
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2017,3107032
Albany,IMMUNOLOGY AND MICROBIAL DISEASE,Imm;Mb,nih,2016,4967862
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,NA,nih,2020,2601201
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,NA,nih,2019,1796029
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,NA,nih,2018,1232819
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,NA,nih,2017,0
Albany,MOLECULAR AND CELLULAR PHYSIOLOGY,NA,nih,2016,0
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2020,1616351
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2019,294016
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2018,15000
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2017,0
Albany,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Nb,nih,2016,0
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,CB,nih,2020,81354
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,CB,nih,2019,2493929
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,CB,nih,2018,1354401
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,CB,nih,2017,1863662
Albany,REGENERATIVE AND CANCER CELL BIOLOGY,CB,nih,2016,2016539
Arizona,BASIC MEDICAL SCIENCES,NA,nih,2020,1588680
Arizona,BASIC MEDICAL SCIENCES,NA,nih,2019,1389702
Arizona,BASIC MEDICAL SCIENCES,NA,nih,2018,1953320
Arizona,BASIC MEDICAL SCIENCES,NA,nih,2017,1406961
Arizona,BASIC MEDICAL SCIENCES,NA,nih,2016,1025644
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2020,0
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2019,0
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2018,0
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2017,0
Arizona,BIOETHICS AND MEDICAL HUMANISM,GHSM,nih,2016,0
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2020,0
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2019,0
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2018,0
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2017,0
Arizona,BIOMEDICAL INFORMATICS,DBMI,nih,2016,0
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2020,10777974
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2019,7877574
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2018,4937170
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2017,3665306
Arizona,CELLULAR AND MOLECULAR MEDICINE,CB,nih,2016,4767421
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2020,2843805
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2019,4131413
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2018,3402112
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2017,3712613
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,nih,2016,1309969
Arizona,IMMUNOBIOLOGY,Imm,nih,2020,9989996
Arizona,IMMUNOBIOLOGY,Imm,nih,2019,7778770
Arizona,IMMUNOBIOLOGY,Imm,nih,2018,7194695
