department_name,school,harvard_equivalent
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP
BIOMEDICAL INFORMATICS,Harvard,DBMI
CELL BIOLOGY,Harvard,CB
GENETICS,Harvard,Gn
GLOBAL HEALTH AND SOCIAL MEDICINE,Harvard,GHSM
HEALTH CARE POLICY,Harvard,HCP
MICROBIOLOGY AND IMMUNOBIOLOGY (LEGACY),Harvard,Mb;Imm
IMMUNOLOGY,Harvard,Imm
MICROBIOLOGY,Harvard,Mb
NEUROBIOLOGY,Harvard,Nb
STEM CELL AND REGENERATIVE BIOLOGY,Harvard,SCRB
SYSTEMS BIOLOGY,Harvard,SB
BIOCHEMISTRY AND MOLECULAR MEDICINE,Southern Cal-Keck,BCMP
INTEGRATIVE ANATOMICAL SCIENCE,Southern Cal-Keck,
MEDICAL EDUCATION,Southern Cal-Keck,
MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Southern Cal-Keck,CB;Mb;Im
PHYSIOLOGY AND NEUROSCIENCE,Southern Cal-Keck,Nb
POPULATION AND PUBLIC HEALTH SCIENCES,Southern Cal-Keck,GHSM
STEM CELL BIOLOGY AND REGENERATIVE MEDICINE,Southern Cal-Keck,SCRB
TRANSLATIONAL GENOMICS,Southern Cal-Keck,Gn
ANATOMY AND NEUROBIOLOGY,Boston,Nb
BIOCHEMISTRY,Boston,CB;Nb;BCMP;Gn
MEDICAL SCIENCES AND EDUCATION,Boston,
MICROBIOLOGY,Boston,Mb;Imm
PATHOLOGY AND LABORATORY MEDICINE,Boston,SCRB;CB
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCM
PHYSIOLOGY AND BIOPHYSICS,Boston,CB
ANATOMY,Case Western Reserve,
BIOCHEMISTRY,Case Western Reserve,BCMP;CB
BIOMEDICAL ENGINEERING,Case Western Reserve,
GENETICS AND GENOME SCIENCES,Case Western Reserve,Gn
MOLECULAR BIOL AND MICROBIOLOGY,Case Western Reserve,Mb
MOLECULAR MEDICINE,Case Western Reserve,BCMP
NEUROSCIENCES,Case Western Reserve,Nb
NUTRITION,Case Western Reserve,
PATHOLOGY,Case Western Reserve,Imm;CB
PHARMACOLOGY,Case Western Reserve,BCMP
PHYSIOLOGY AND BIOPHYSICS,Case Western Reserve,BCMP
POPULATION AND QUANTITATIVE HEALTH SCIENCES,Case Western Reserve,SB
BIOLOGICAL CHEMISTRY,Johns Hopkins,BCMP
BIOMEDICAL ENGINEERING,Johns Hopkins,
BIOPHYSICS AND BIOPHYSICAL CHEMISTRY,Johns Hopkins,BCMP
MOLECULAR AND COMPARATIVE PATHOBIOLOGY,Johns Hopkins,Mb
CELL BIOLOGY,Johns Hopkins,CB
MOLECULAR BIOLOGY AND GENETICS,Johns Hopkins,Gn
NEUROSCIENCE,Johns Hopkins,Nb
PHARMACOLOGY AND MOLECULAR SCIENCES,Johns Hopkins,BCMP
PHYSIOLOGY,Johns Hopkins,
BIOCHEMISTRY AND MOLECULAR GENETICS,Northwestern-Feinberg,BCMP;Gn
CELL AND DEVELOPMENTAL BIOLOGY,Northwestern-Feinberg,CB
MICROBIOLOGY-IMMUNOLOGY,Northwestern-Feinberg,Mb;Imm
NEUROSCIENCE,Northwestern-Feinberg,Nb
PHARMACOLOGY,Northwestern-Feinberg,BCMP
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Drexel,BCMP;CB
MICROBIOLOGY AND IMMUNOLOGY,Drexel,Mb;Imm
NEUROBIOLOGY AND ANATOMY,Drexel,Nb
PHARMACOLOGY AND PHYSIOLOGY,Drexel,BCMP
ANATOMY AND CELL BIOLOGY,George Washington,CB
BIOCHEMISTRY AND MOLECULAR MEDICINE,George Washington,BCMP
GENOMICS AND PRECISION MEDICINE,George Washington,Gn
MICROBIOLOGY IMMUNOLOGY AND TROPICAL MEDICINE,George Washington,Mb;Imm
PATHOLOGY,George Washington,
PHARMACOLOGY AND PHYSIOLOGY,George Washington,BCMP
BIOCHEMISTRY MOLEC BIOLOGY AND CELL BIOLOGY,Georgetown,BCMP;Cb
BIOLOGY,Georgetown,
BIOSTATISTICS BIOINFORMATICS AND BIOMATHEMATICS,Georgetown,DBMI;SB
HUMAN SCIENCE,Georgetown,GHSM
MICROBIOLOGY AND IMMUNOLOGY,Georgetown,Mb;Imm
NEUROSCIENCE,Georgetown,Nb
ONCOLOGY,Georgetown,CB
PATHOLOGY,Georgetown,
PHARMACOLOGY AND PHYSIOLOGY,Georgetown,BCMP
RADIATION MEDICINE,Georgetown,
DEVELOPMENTAL MOLEC AND CHEMICAL BIOL,Tufts,BCMP
IMMUNOLOGY,Tufts,Imm
MOLECULAR BIOLOGY AND MICROBIOLOGY,Tufts,Mb;Gn
NEUROSCIENCE,Tufts,Nb
BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,Columbia-Vagelos,BCMP
BIOMEDICAL INFORMATICS,Columbia-Vagelos,DBMI
GENETICS AND DEVELOPMENT,Columbia-Vagelos,Gn
MEDICAL HUMANITIES AND ETHICS,Columbia-Vagelos,GHSM
MICROBIOLOGY AND IMMUNOLOGY,Columbia-Vagelos,Mb;Imm
